rho_over_D,simulation_bit_s_hz,simulation_standard_error,lower_bound_eq30_bit_s_hz,asymptotic_eq36_bit_s_hz,schwartz_yeh_bit_s_hz
0.02,52.84502468165624,0.01810754132504582,52.82949942874806,58.42058812176948,52.831890216345855
0.04,45.52345706522028,0.017722142311770293,45.4300883608695,51.021176667066044,45.45683583622967
0.06,41.357442020773874,0.01708772338595759,41.1036341265062,46.694720974664094,41.2018550543147
0.08,38.52667822594306,0.016314977719098362,38.03807111509907,43.62915440906167,38.26659172179849
0.1,36.45003309847033,0.015487881941941242,35.667443062279666,41.25851943603588,36.0835714601947
0.12000000000000001,34.862034268607715,0.014661696173184332,33.74188975011898,39.332954401525086,34.39416636397104
0.13999999999999999,33.61742049512283,0.013871470866408319,32.13071612464041,37.7217627721142,33.05614516448333
0.16,32.62748533535468,0.01313924958405481,30.758864106197052,36.34988513917256,31.98214660880619
0.18,31.833888381354146,0.012478783742459778,29.581171487958652,35.1721584004677,31.114463593575543
0.19999999999999998,31.19612461699365,0.011898360921956216,28.57014646523743,34.161090653231625,30.41285011666136
0.22,30.684849778130165,0.011402397934993192,27.709239671020168,33.30013360791517,29.84793323285441
0.24,30.27802216797711,0.010992273918328315,26.98846188978518,32.579300548815795,29.397375589213844
0.26,29.958521244118646,0.01066674300962077,26.401024573481674,31.99180676560715,29.043517325902947
0.28,29.712596885515605,0.010422173686186899,25.940569424763584,31.531298577228082,28.77186591486312
0.30000000000000004,29.52881557366526,0.010252786600907015,25.599057790157698,31.18974175983116,28.570095063438572
0.32,29.397321523224488,0.010150988720753205,25.36558272396855,30.956232578192996,28.427361767268337
0.34,29.30930971222973,0.010107828395234423,25.22624045579,30.816868594071632,28.333831421214292
0.36000000000000004,29.256651283734698,0.010113536400176034,25.1648845088959,30.755502747412585,28.280347581618344
0.38,29.231636881124555,0.010158086120355646,25.164332359620378,30.754950508088598,28.25821075993825
0.4,29.226818187358802,0.01023170498296834,25.207568172958524,30.798193320729006,28.25904696206073
0.42000000000000004,29.23493612515065,0.01032528933574121,25.27865282594162,30.869289255788452,28.27475552570526
0.44,29.248927619433115,0.010430701543456008,25.363265601695858,30.953915103315037,28.29752924974717
0.46,29.262002382441217,0.010540950154997807,25.448945133274158,31.03960748652552,28.319939090556325
0.48000000000000004,29.267777562832812,0.010650267377550334,25.525144986773316,31.115818453440482,28.335071825325663
0.5,29.2604523778725,0.010754103710356597,25.583203013218114,31.17388475254253,28.336703256182567
0.52,29.23499871826169,0.010849060329178562,25.616283278504973,31.20696965749826,28.31948346083501
0.54,29.187339397798446,0.010932778289627078,25.619311088530687,31.209997889537608,28.279106446069022
0.56,29.11448541875517,0.011003801347472232,25.58889640780031,31.179578949446046,28.21243643835478
0.5800000000000001,29.014608672909908,0.011061426720223705,25.523230573360895,31.113903764398884,28.117568199441926
0.6,28.887036595683384,0.011105555487703561,25.42194284892976,31.012601193045285,27.993808839256317
0.62,28.732168324942595,0.011136551531073473,25.28591232639411,30.87654989285268,27.841581506868067
0.64,28.551324629083787,0.011155115050748395,25.117041828002662,30.7076521996874,27.66226385295372
0.66,28.346553104602798,0.011162174017058057,24.91800948692654,30.508585694392053,27.457983166264633
0.68,28.120414035086533,0.011158794639881307,24.692018063273167,30.282552511108058,27.231393767399545
0.7000000000000001,27.87577080317,0.01114611025190776,24.44256136198326,30.033045751983614,26.985460573206915
0.7200000000000001,27.615603320297655,0.011125266912825976,24.173222598149703,29.763647852465454,26.723267199526052
0.74,27.342855735411813,0.011097383480266756,23.88751321603405,29.477869402458243,26.447859695174117
0.76,27.06032267972004,0.011063523724966275,23.588754410675314,29.179030671516635,26.16212996350866
0.78,26.77057278529987,0.011024678154226555,23.279998679148424,28.870183164593016,25.86873740321405
0.8,26.475904671529303,0.010981753435380192,22.963985633898243,28.55406544037623,25.57006376811331
0.8200000000000001,26.178328907821374,0.010935567599424637,22.64312494517141,28.233086058959906,25.26819458158102
0.8400000000000001,25.879569191710754,0.010886849504501658,22.319499228388317,27.90932647447761,24.964920196874353
0.86,25.581076605249727,0.010836241322044093,21.99488045992103,27.58455745602468,24.661750244182304
0.88,25.28405187615051,0.010784303062019666,21.670754660691134,27.260263776178675,24.359936292621704
0.9,24.989471748097856,0.010731518372905289,21.348350824005262,26.937673143467375,24.060498754685277
0.92,24.69811666123097,0.010678301036447357,21.028671198696713,26.617786489809248,23.764255175449563
0.9400000000000001,24.410597864659938,0.010625001728967713,20.712520984856365,26.301407670185156,23.47184798486765
0.9600000000000001,24.127382801496353,0.010571914743090367,20.400536235753844,25.989171368132673,23.183770522361378
0.98,23.848818135287694,0.010519284460106401,20.093209301006972,25.681568542122278,22.900390681057104
1.0,23.57515015474333,0.01046731143751669,19.790911524122798,25.3789691259486,22.621971894529672
