epoch,train_loss,val_nmse,val_nmse_db
1,0.7237659692764282,1.3765273782672727,1.3878485366044617
2,0.6679981350898743,1.3428826338431952,1.2803805756698996
3,0.6605321764945984,1.2947259695988729,1.1217785916283638
4,0.6199259757995605,1.2353240000813022,0.9178087904748433
5,0.5894922018051147,1.1641636737987369,0.6601404357032423
6,0.5538674592971802,1.1222960062872547,0.5010741747503257
7,0.5332704186439514,1.105799975716222,0.436765760654495
8,0.5071852803230286,1.0862318135507567,0.35922518257026115
9,0.5162563323974609,1.0543017197524365,0.22964914929625402
10,0.49545255303382874,1.0188818061697609,0.08123807259188147
