epoch,train_loss,val_nmse,val_nmse_db
1,0.7131158113479614,1.321713122740816,1.2113720194940512
2,0.6781150102615356,1.2746650750774118,1.0539608661018791
3,0.6647509932518005,1.2097204994567503,0.8268504009716283
4,0.6361106038093567,1.1381508773186766,0.5619983749282041
5,0.5744345188140869,1.075582771740382,0.31643837249657913
6,0.5604473948478699,1.044922426828764,0.19084050398548022
7,0.5479890704154968,1.0318475710490806,0.13615546184962068
8,0.5019692182540894,1.0119963712598836,0.05178955246236587
9,0.5190684199333191,0.9808873041311268,-0.08380886611348237
10,0.5298877954483032,0.9483112364659974,-0.23049103488772554
