bandwidth_mhz,best_epoch,train_windows,val_windows,test_windows,val_nmse,val_nmse_db,nmse,nmse_db,delta_nmse_db_vs_reference,degradation_class,token_mse,persistence_nmse,persistence_nmse_db,sequences
1.4,10,38,4,6,1.0188818061697609,0.08123807259188147,0.98623818262126,-0.060181875879733115,0.0,small_or_none,0.5836594901379244,0.529868937823494,-2.7583153911419753,540
5.0,10,38,4,6,1.0341209394195574,0.14571332037578782,0.9869907845985512,-0.056869022611451214,0.003312853268281901,small_or_none,0.5935954167872299,0.5349114235688296,-2.717181272126099,540
9.0,10,38,4,6,0.9959216332186647,-0.01774833865158855,0.9886103590854524,-0.049748431266290645,0.01043344461344247,small_or_none,0.5924008035542052,0.550954295419024,-2.588844266846814,540
15.0,10,38,4,6,0.9483112364659974,-0.23049103488772554,0.9796131709054055,-0.08945384415957618,-0.02927196827984306,small_or_none,0.6150343997154707,0.5663413187649482,-2.4692175224066477,540
