bandwidth_mhz,prediction_step,horizon_ms,nmse,nmse_db
1.4,1,25.0,0.10514406699313296,-9.782152283969616
1.4,2,50.0,0.37399561689148436,-4.271334875615424
1.4,3,75.0,0.766888383174779,-1.152678408733494
1.4,4,100.0,1.1972128253189458,0.7817136063675733
1.4,5,125.0,1.5450731437997653,1.889490437587248
5.0,1,25.0,0.21868841376155693,-6.601742255253002
5.0,2,50.0,0.5127159965341456,-2.901231325339857
5.0,3,75.0,0.9167687570595698,-0.3774019562519114
5.0,4,100.0,1.3717348482545257,1.3727017181632715
5.0,5,125.0,1.803419368829909,2.5609672971229647
9.0,1,25.0,0.26578811870374036,-5.754644368497683
9.0,2,50.0,0.582436788943328,-2.347512011220797
9.0,3,75.0,1.0201446686187141,0.0866176424002349
9.0,4,100.0,1.5006042459236006,1.7626617094166952
9.0,5,125.0,1.9347160136557893,2.866172263298541
15.0,1,25.0,0.3323896907922546,-4.783524545072633
15.0,2,50.0,0.6542564997847404,-1.8425195411930118
15.0,3,75.0,1.0615121388150914,0.25924964861196365
15.0,4,100.0,1.5037663413107079,1.7718035981756461
15.0,5,125.0,1.9054368703457747,2.799945645935452
