epoch,train_loss,val_nmse,val_nmse_db
1,0.6572056412696838,1.1991759462248883,0.7888290859391761
5,0.35214571058750155,0.7563501435090618,-1.2127710636390785
10,0.3183501310646534,0.6763347655094416,-1.6983828804286294
15,0.33288523107767104,0.601417560627889,-2.2082389520382844
20,0.29571234434843063,0.6296297848316483,-2.0091473572829903
25,0.2793628893792629,0.5669510751458849,-2.4645441678774485
30,0.27919538989663123,0.6082641278278712,-2.15907795152704
35,0.2873159259557724,0.6141196403703657,-2.117470130752896
40,0.2676129087805748,0.6124431522386344,-2.1293421686522778
45,0.24617774561047553,0.5724828439466247,-2.4223752364476043
50,0.28407201170921326,0.5438465167211649,-2.6452364873209993
55,0.2545283868908882,0.5440844145116919,-2.643337144332148
60,0.24598826542496682,0.5073116072446923,-2.9472520094959536
65,0.25875259935855865,0.5569486479752197,-2.5418484599163893
70,0.25529146045446394,0.5674580658512831,-2.4606622654414942
75,0.24411824718117714,0.5105381369643154,-2.919718107670195
80,0.24719251096248626,0.532682619313732,-2.735314734034233
