bandwidth_mhz,subcarrier_spacing_khz,num_subcarriers,modeled_bandwidth_mhz,token_dim,num_parameters,parameter_ratio_vs_reference,best_epoch,training_seconds,val_nmse_db,nmse,nmse_db,delta_nmse_db_vs_reference,persistence_nmse_db,benchmark_batch_size,inference_latency_ms_per_batch,inference_throughput_sequences_s,latency_ratio_vs_reference,peak_inference_memory_mb,train_windows,val_windows,test_windows,evaluated_predictions
1.4,15.0,93,1.395,1395,372774,1.0,75,27.326255511958152,-4.716940586666679,0.3818973375399859,-4.180533693714401,0.0,-2.232110987724019,16,3.339726770063862,4790.811075749783,1.0,32.7265625,51,6,7,630
5.0,15.0,333,4.995,4995,1301574,3.491590078707206,60,31.437262174091302,-2.9472520094959536,0.5154885795959774,-2.877809518613355,1.302724175101046,-2.178424952665182,16,1.9705309800338,8119.638900437666,0.5900276027658752,52.2958984375,51,6,7,630
9.0,15.0,600,9.0,9000,2334864,6.263484041268972,75,40.4410839000484,-2.533906961766102,0.5839152532926115,-2.3365017976791416,1.8440318960352595,-2.1132468357741803,16,2.6876308699138463,5953.19847643843,0.8047457336943924,71.13427734375,51,6,7,630
15.0,15.0,1000,15.0,15000,3882864,10.416134172447649,75,68.48046962497756,-1.8085155614759254,0.641756431783199,-1.9262977006757522,2.254235993038649,-2.0984213305423856,16,2.538605988956988,6302.6716511347095,0.7601238555537418,99.26171875,51,6,7,630
