epoch,train_loss,val_nmse,val_nmse_db
1,0.6186473160982132,0.9932940322168756,-0.029221737934115033
5,0.30117387473583224,0.5710114800474714,-2.433551602810344
10,0.2451643504202366,0.45954279617983385,-3.376740375329761
15,0.2579834245145321,0.5136280851830081,-2.8935123706824317
20,0.22238432317972184,0.4446345002582833,-3.5199684237817164
25,0.20486535727977753,0.4008893879794113,-3.9697543989061685
30,0.21831475272774697,0.49912360518027316,-3.0179189044820864
35,0.2105907142162323,0.5082907163189706,-2.9388782240090157
40,0.20424462463706733,0.42403918114861067,-3.7259401281654325
45,0.20832882672548295,0.43450300815165294,-3.6200721249692287
50,0.2112518183887005,0.4610664376361119,-3.362364901855722
55,0.20191385149955748,0.3822261369026878,-4.176796188914094
60,0.19892356246709825,0.40957198503695763,-3.876697570125888
65,0.1947058655321598,0.42039636509845946,-3.7634104769733003
70,0.1885060343891382,0.3880381371223182,-4.111255890247541
75,0.18579203113913537,0.33752499642193085,-4.716940586666679
80,0.17925444915890693,0.388931220553211,-4.101271934692496
