epoch,train_loss,val_nmse,val_nmse_db
1,0.6462740699450175,1.2138354500664068,0.8415981691075469
2,0.5180757294098536,0.9833220769326455,-0.07304210220162506
3,0.4156149576107661,0.8127569890286365,-0.9003928724737537
4,0.3374221821626027,0.7142667341350791,-1.4613957599612575
5,0.3008594910303752,0.6389871038496547,-1.9450790676092657
6,0.2711490790049235,0.5658177644909803,-2.4732342149674738
7,0.24006441483894983,0.5330282517731576,-2.7324977171635116
8,0.22814433525005975,0.49155185100171156,-3.0843066416713922
9,0.2221772496898969,0.48390491075149317,-3.1523997057281052
10,0.21850769718488058,0.46081620043934507,-3.364722612737853
11,0.21021663894255957,0.4539871756344297,-3.429564150500889
12,0.2104124128818512,0.43620056957098774,-3.603137716748437
13,0.2050918142000834,0.437051407165829,-3.594674771362485
14,0.1977316439151764,0.41378406929671324,-3.8322623370342117
15,0.19508332262436548,0.39376175398070495,-4.047664691064165
16,0.20832438518603644,0.39497381942585,-4.0343169033735515
17,0.1976724937558174,0.3875179527540214,-4.117081728959914
18,0.17813427994648615,0.3581867716702025,-4.458904572829664
19,0.18677493929862976,0.3498434949546057,-4.561261970171953
20,0.191427913804849,0.3548735845136755,-4.499263267355501
21,0.17175111919641495,0.35297065115272747,-4.5226140388217955
22,0.16559084256490073,0.3211600423865074,-4.9327849343858725
23,0.1755997563401858,0.3418210290048719,-4.6620122277431255
24,0.16465770453214645,0.3322640661498387,-4.785166244651463
25,0.17305152614911398,0.30023742506714657,-5.225351732283502
26,0.16055271277825037,0.3148389448283599,-5.019115517960389
27,0.16354411840438843,0.306796632445553,-5.131494117319891
28,0.15773429721593857,0.2844172204733762,-5.460441121259839
29,0.15203207234541574,0.29564163374155417,-5.292344064375363
30,0.14601914212107658,0.2912503127678951,-5.3573359958550215
31,0.14586101472377777,0.29965738037417056,-5.233750214338584
32,0.15608308464288712,0.28008929987827624,-5.527034820103585
33,0.16041051844755808,0.26572501312492147,-5.755675628240706
34,0.14818279445171356,0.29304510819430124,-5.330655239051348
35,0.14316202700138092,0.2845730820707092,-5.458061824704073
36,0.13909364864230156,0.25871835222225353,-5.871727634513629
37,0.13950289537509283,0.2535121674554201,-5.960011916287309
38,0.13969947894414267,0.27799353149469597,-5.559653093655312
