bandwidth_mhz,best_epoch,train_windows,val_windows,test_windows,val_nmse,val_nmse_db,nmse,nmse_db,delta_nmse_db_vs_reference,degradation_class,token_mse,persistence_nmse,persistence_nmse_db,sequences
1.4,95,256,32,32,0.16004047390648407,-7.957701712728815,0.15495880701220413,-8.097837357970194,0.0,small_or_none,0.21826721304434318,0.606488700293925,-2.1717728621655246,2880
5.0,95,256,32,32,0.1575227624252631,-8.026566807225986,0.15094694716647247,-8.21175665960938,-0.11391930163918573,small_or_none,0.21166642252604168,0.6050243444039628,-2.182271502605932,2880
9.0,100,256,32,32,0.1555158711904651,-8.082252824010856,0.15279955951132487,-8.158778977372705,-0.060941619402511193,small_or_none,0.21131658031322337,0.6051692504524245,-2.1812314723527635,2880
15.0,94,256,32,32,0.1551144020514842,-8.093478769697011,0.152026647787061,-8.180802806569478,-0.08296544859928368,small_or_none,0.21000877549913194,0.6099736905537766,-2.146888966182951,2880
