bandwidth_mhz,subcarrier_spacing_khz,num_subcarriers,modeled_bandwidth_mhz,token_dim,num_parameters,parameter_ratio_vs_reference,best_epoch,training_seconds,val_nmse_db,nmse,nmse_db,delta_nmse_db_vs_reference,persistence_nmse_db,benchmark_batch_size,inference_latency_ms_per_batch,inference_throughput_sequences_s,latency_ratio_vs_reference,peak_inference_memory_mb,train_windows,val_windows,test_windows,evaluated_predictions
1.4,15.0,93,1.395,1395,372774,1.0,2,1.1909186959965155,-0.38015638127472073,0.9931476391182615,-0.029861854540098057,0.0,-2.088160177200214,4,1.5563063090667129,2570.1881285816567,1.0,30.59716796875,12,1,3,270
5.0,15.0,333,4.995,4995,1301574,3.491590078707206,2,0.6742605939507484,1.2176092955675577,1.3791977345469606,1.3962653511451077,1.426127205685206,-2.0509945118986863,4,1.563277596142143,2558.7266201928574,1.0044793798205514,39.4853515625,12,1,3,270
